^:<name=mn2 footnote=bk preload=true>	note
1	在漢譯本《中阿含經．二一七．八城經》之中，在無所有處之後還有非想非非想處這個定境。巴利文本這裏沒有非想非非想處，可能是這定境觀察能力薄弱的原因。
2	優波離居士之前所聽的這段說話是尼乾子對佛陀的誹謗，在跟佛陀對話後才知道佛陀亦鼓勵他繼續供養尼乾子。在漢譯本《中阿含經．一三三．優婆離經》(  《大正藏》第一冊六三零頁中)之中，在這句句子之後還有這一段落“世尊告曰。居士。我不如是說。當施與我莫施與他[ 。]施與我弟子莫施與他弟子。若施與我者當得大福。若施與他不得大福。施與我弟子當得大福[ 。]若施與他弟子不得大福。居士。我說如是。施與一切隨心歡喜。但施與不精進者不得大福。施與精進者當得大福。”
3	巴利文本原文沒有“羅睺邏，什麼是地界呢？有內地界，有外地界。”這個段落，現按文義補上。這篇經文的總要是，佛陀早上為羅睺邏尊者簡說色蘊無我的義理，在巴利文佛典中，羅睺邏尊者是一位“修學欲第一”的大弟子，他聽法後便立即到樹下修習，不隨佛陀入村化食。舍利弗尊者看見羅睺邏尊者的精勤態度，於是又教他修習出入息念。到了黃昏的時候，羅睺邏尊者問佛陀怎樣修習出入息念，佛陀便為他詳細解說包括觀察“地、水、火、風、空”五界(構成色蘊的五種元素)與出入息念等好幾種修習方法。
4	“學處”(sikkhā-pada )指比丘的戒條。
5	佛陀從不提出一些對人不尊重的指示。在這裏佛陀強調的，是即使叫弟子作出一些不尊重的指示，弟子也會遵從，更何況只是叫弟子遵從一天只吃一餐這個學處。
6	“漁夫在賣魚”是慣用語的表達方式，意指嘈雜。一種解釋說，漁夫打魚歸來的時候，在碼頭時是很嘈雜的。
7	邪命外道(ājīvaka)是一種宗教教派，在當時的印度以末伽梨．拘舍梨為代表。在哲理方面，邪命外道的特點是否定善惡行為與善惡果報，屬“無因論”的思想，所以九十一劫以來跟隨這種思想的人沒有一個能夠投生天上，例外的一人嚴格來說稱不上真正的邪命外道，因他雖有邪命外道之名，但內心還是肯定善惡因果的。
8	在漢譯本《雜阿含經．九六九經》之中提到，當時舍利弗尊者出了家只是半個月。見《大正藏》第二冊二四九頁下。
9	《中部》八十一至九十經十篇經文的內容全是跟國王有關的，這十篇經文收錄為一品，品名是《王品》。經常閱讀原始佛教經文的讀者會發覺，《王品》當中多篇經文如八十一、八十二、八十三、八十六、九十等經的內容比較遠離原始佛教的中心法義，也比較遠離實修與智慧方面的法理，有些內容甚至去到一個誇張、不合情理、跟史實不符的程度。這類內容在後出的佛典如《小部》、經與律的《註釋》之中較為多見，但有些時候也會出現在四部《尼柯耶》之中。這篇經文說到，古佛之一的迦葉佛曾在印度出現及曾在波羅奈安居；這是跟現實歷史不符的。這篇經文也強調伽提迦羅跟迦葉佛的稔熟程度，迦葉佛因小屋漏水而叫比丘在伽提迦羅不在家的情況下拆去他工場的草頂來用；這種“不問自取”的行為是不會出現在釋迦佛身上的，也不會出現在任何一個有修養的人身上的。
10	這樣可避免傷害泥土中的生命。
11	在漢譯本《中阿含經．六十三．鞞婆陵耆經》之中，跟這段經文相應的句子是“大王。難提婆羅陶師故陶屋竟夏四月都不患漏。所以者何。蒙佛威神故。”(  《大正藏》第一冊五零二頁下)當中解釋，伽提迦羅(難提婆羅)的工場沒有屋頂雨水也打不進去的原因是蒙迦葉佛的威神。但這樣也帶出另一個問題，既然迦葉佛的威神可令雨水打不進屋，那麼最初也可令自己的小屋不漏水， 那樣便不用去取草蓋自己小屋的屋頂了。  
12	見第八十一經註一。此外，這篇經文強調賴吒和羅出家的決心，但在另一方面，他對父母的態度是不近人情、不懂感恩、處於對立的。佛陀常說，父母恩是很難報的，反觀佛陀本身，小時候的悉達多太子也察覺到人生有老、病、死的問題而發心出家，雖然家人內心不捨，但他跟家人的關係一直是良好的，佛陀在覺悟後翌年即返回迦毗羅衛教化家人與親屬，使所有家人及許多親屬都歸信佛教以至隨佛出家。
13	在《中阿含經．一三二．賴吒惒羅經》中說，這時已是賴吒惒羅得阿羅漢九年至十年以後了。在《中部》的註釋《破除疑障》(Papañcasūdanī) 中說，賴吒和羅修證阿羅漢需時十二年。
14	佛陀從來沒有對給孤獨長者、頻婆娑羅王等有大財富的居士說這類說話。財富是在家人的生活支柱，可為在家人帶來欲樂，也可用作布施助人。在《長部．三十一．教化仙伽邏經》之中，佛陀更為仙伽邏居士子講解遠離飲酒、遊蕩、玩樂、賭博、損友、懶惰六種令財物損失的行為，也建議他把財富分作自用、投資、積蓄等分配。
15	見第八十一經註一。此外，這篇經文跟第八十一經同屬“本生”的內容，當中談到佛陀過往生的事跡。在八十一經之中，佛陀在過往生曾是光護婆羅門，那時他跟隨迦葉佛出家修行；在這篇經文之中，佛陀在過往生曾是大天王，那時他是一位確立“世間善法”但還沒有“出世間法”的凡夫。這篇經文提到大天王及他的後代都生活在彌梯羅城，這跟現實歷史不符，但在義理方面，全經都是貼合法義的，此經帶出一個很有意思的一點，就是若然沒有出世間法，行善充其量只得生天的福報，有了八正道，才可解脫生死、證得湼槃。
16	“天信使”(deva-dūta)有老、病、死三種。有質素的人看見老、病、死，能策發出一種向善的動力，因此，從正面的角度來看，老、病、死可說是三種天信使。經文這裏的白髮就是“老”的天信使。
17	“韋提訶”(Videha)是一個國家，彌梯羅城(Mithilā)是該國的首都。
18	見第八十一經註一。此外，佛陀降服大盜央掘摩羅的故事在佛教中常可聽到。這篇經文強調佛陀降服眾生的能力，但央掘摩羅能夠捉著奔跑的象、馬、鹿，波斯匿王帶領大批士兵也沒有能力捉他等內容則含有誇張的成份，再者，央掘摩羅的祝願說話能使孕婦與胎兒安穩的內容也帶有不合常理的成份。
19	央掘摩羅尊者出身於婆羅門種姓。
20	佛陀的祖國是迦毘羅衛。迦毘羅衛是小國，臣服於拘薩羅。
21	見第八十一經註一。此外，這篇經文提到，佛陀否定說過“沒有沙門或婆羅門是全知者、全見者；無所不知的知見一直常在，保持不失是沒有可能的”這句說話，這是跟《中部．七十一．三明婆蹉種經》的記載有矛盾的。在《三明婆蹉種經》中提到，佛陀否認自己是一位“全知者”(sabbaññū)而稱自己是一位具有三明的人(tevijja) 。在早期的佛典中，佛陀最重要的質素是了解生命及得解脫，而三明尤其是漏盡明就是此中最高的成就。後期的佛典很快便開始將佛陀塑造成一個無所不知與無所不能的形象，全知者這個稱號最初給佛陀予以否定，即使這篇經文只是暗示有全知者的可能性，但還沒有明確指出佛陀就是一位全知者，但很快這個稱號便出現在不少的佛典之中來形容佛陀。
22	“頗羅墮”(Bhāradvāja )是迦波提婆羅門學童的族姓。
