^:<name=sn3 footnote=bk preload=true>	note
1	《八品．摩緊提耶問》收錄在《小部》第五冊《經集》之中。
2	“帝釋問”的內容收錄在《中部．三十七．小愛盡經》和《長部．二十一．帝釋問經》之中。
3	“四識住”(catu-viññāṇa-ṭhiti)是指色、受、想、行、識五蘊中的前四蘊。色、受、想、行這四個地方是識的立足之處，識的活動要依靠色、受、想、行，所以色、受、想、行稱為四識住。
4	在《相應部》的註釋《精義顯揚》(Sāratthappakāsinī)之中說，“七正法”是信、慚、愧、多聞、精進、念、慧。
5	“十道支”指正見、正思維、正語、正業、正命、正精進、正念、正定、正智、正解脫。具有這十種東西的人是一位阿羅漢。
6	這裏應是原文的脫漏。斷見的內容通常是這一種的類型：“眾生命終之後便會斷滅，什麼也沒有，不再存在。”
7	在《相應部》的註釋《精義顯揚》中提到，車匿尊者初時是不喜歡“無我”的教義的，他雖然知道佛法說無我，但他心想，若五蘊無我，那麼他的“自我”究竟是什麼。其次，若採納無我的教說，他的“自我”便會斷滅，他的“自我”便會失去。因為車匿尊者是一個我執很重的人，加上帶有常見、斷見、實有、實無等邊見，所以阿難尊者為他解說十二緣起的法義，首先使他避開邊見，然後從“苦與苦的止息”這個角度來見法。
8	在註釋中提到，勸世圖(caraṇa-citta)是婆羅門教數論派(sankhya)的一種教化方式。他們繪畫多種有關善惡業招感善惡報的圖畫，讓人看後受持於心，以勸人行善。
9	這裏應是跟  《八十一．波利梨耶 》一樣，是原文的脫漏。見該經的註一。
10	經文這裏是指“斷見”。這應是原文的脫漏，斷見的內容通常是這種類型：“眾生命終之後便會斷滅，什麼也沒有，不再存在。”第二十二經、四十八經、七十四經同。
